word,polarity,frequency
return,neutral,853
deluxe,neutral,850
called,neutral,849
despite,neutral,848
four,neutral,846
horrible,negative,845
special,neutral,844
front,neutral,839
part,neutral,838
thanks,neutral,836
room,neutral,833
prepared,neutral,831
care,neutral,826
auto,neutral,822
found,neutral,819
forgot,neutral,819
add,neutral,817
delivered,neutral,816
door,neutral,816
help,neutral,815
outdoor,neutral,814
air,neutral,811
alberto,neutral,802
years,neutral,802
end,neutral,798
shopping,neutral,796
hard,negative,796
plenty,neutral,794
call,neutral,791
plus,neutral,788
screen,neutral,788
taking,neutral,788
barcelona,neutral,787
rest,neutral,786
liked,positive,782
taste,neutral,779
packed,neutral,778
coming,neutral,776
franchise,neutral,774
star,neutral,774
unpleasant,negative,773
stop,neutral,771
complete,neutral,770
enough,positive,767
making,neutral,762
birthday,neutral,758
breakfast,neutral,754
feel,neutral,752
worth,positive,751
far,neutral,751
kitchen,neutral,746
complaint,negative,745
tasty,neutral,739
leaving,neutral,739
available,positive,735
however,neutral,725
days,neutral,725
please,neutral,721
arrive,neutral,717
makes,neutral,717
saw,neutral,714
young,neutral,710
product,neutral,708
leaves,neutral,707
screens,neutral,700
chocolate,neutral,691
longer,neutral,688
anyone,neutral,681
highly,neutral,680
twice,neutral,679
later,neutral,677
comes,neutral,675
ideal,positive,674
bread,neutral,672
lettuce,neutral,672
lunch,neutral,672
fantastic,positive,669
son,neutral,669
improved,positive,668
cola,neutral,664
hygiene,neutral,664
ate,neutral,664
trash,negative,664
gluten,neutral,662
treat,neutral,658
daughter,neutral,657
system,neutral,656
store,neutral,655
answer,neutral,653
sit,neutral,651
toilet,neutral,650
improve,positive,649
doing,neutral,649
says,neutral,647
must,neutral,644
single,neutral,641
extremely,neutral,641
queue,neutral,641
needs,neutral,640
park,neutral,639
friends,neutral,637
organization,neutral,634
late,neutral,633
problems,negative,630
world,neutral,628
review,neutral,627
job,neutral,625
receipt,neutral,623
hadn,neutral,621
course,neutral,621
coca,neutral,617
cars,neutral,615
charged,neutral,614
conditioning,neutral,612
looked,neutral,610
each,neutral,609
high,neutral,608
provide,neutral,608
access,neutral,608
honestly,neutral,608
station,neutral,608
average,neutral,607
case,neutral,606
tried,neutral,606
enjoy,positive,602
compared,neutral,601
paper,neutral,599
saying,neutral,599
salad,neutral,598
unfriendly,negative,598
finally,neutral,597
company,neutral,597
supposed,neutral,595
gets,neutral,595
woman,neutral,593
overall,neutral,592
surprise,neutral,588
buy,neutral,588
does,neutral,587
dining,neutral,585
yesterday,neutral,584
absolutely,neutral,582
etc,neutral,579
try,neutral,579
except,neutral,579
paying,neutral,577
helped,positive,577
sure,neutral,567
entire,neutral,566
type,neutral,562
ready,positive,562
zero,neutral,560
careful,neutral,559
uber,neutral,558
visit,neutral,557
properly,positive,557
alvaro,neutral,556
deliver,neutral,556
facilities,neutral,556
opened,neutral,555
wonderful,positive,554
self,neutral,552
bite,neutral,551
modern,positive,551
avoid,neutral,550
register,neutral,548
real,neutral,547
ago,neutral,547
